,Gender,Age,hours_studied,economic_stutus,mothers_education,fathers_education,result
802,0,22,4.0,1,3,2,3.75
804,1,25,2.5,2,2,3,3.75
805,0,22,4.0,2,3,3,3.75
808,1,22,4.0,0,0,0,3.5
809,0,19,3.0,1,0,0,4.0
810,1,22,4.0,1,1,1,3.75
811,0,19,4.5,1,2,3,3.75
812,0,19,4.0,2,0,0,4.0
814,0,19,2.5,2,2,1,4.0
815,1,22,4.5,2,2,3,3.75
816,1,22,4.0,2,2,3,3.75
817,0,19,3.0,2,1,1,4.0
818,1,15,4.5,2,3,3,4.0
819,0,19,4.0,0,2,2,3.75
820,0,19,4.0,1,1,2,4.0
821,1,19,3.0,1,1,2,4.0
822,1,15,4.5,2,2,3,4.0
824,1,30,4.5,0,1,1,3.25
825,0,19,4.5,1,2,3,4.0
826,1,28,4.5,1,0,0,3.25
827,0,22,4.5,1,1,1,3.5
828,1,22,3.0,1,1,1,3.0
830,1,22,3.0,1,2,3,3.25
833,1,22,4.0,1,1,2,3.5
834,1,22,3.0,0,1,1,4.0
835,1,22,3.0,2,1,3,4.0
