,Gender,Age,hours_studied,economic_stutus,mothers_education,fathers_education,result
166,0,19,3.0,0,1,1,3.75
167,0,19,3.0,2,1,1,3.75
168,1,19,4.0,1,1,1,3.75
169,1,22,3.0,0,0,1,3.75
170,1,19,4.5,2,2,2,4.0
171,1,19,2.5,1,2,3,3.75
172,1,22,4.0,2,3,3,3.75
173,0,19,4.0,2,2,3,4.0
174,1,22,3.0,1,2,2,2.75
175,0,19,4.0,2,3,3,3.75
176,0,19,3.0,2,3,3,3.75
177,0,22,3.0,2,3,3,3.5
178,1,22,4.0,2,3,3,3.75
179,1,22,4.0,1,0,0,3.75
180,1,22,4.0,2,2,2,4.0
181,1,28,4.0,2,2,3,3.5
183,0,19,3.0,2,3,3,3.25
184,0,25,3.0,2,3,3,3.75
186,0,22,3.0,2,3,3,3.75
187,1,22,3.0,2,3,3,3.25
188,0,22,4.0,1,2,2,3.75
189,1,22,4.0,2,3,3,3.25
190,0,19,3.0,2,2,3,3.75
191,0,22,4.5,2,3,3,3.75
192,1,22,3.0,2,2,2,3.75
193,0,25,4.0,2,2,3,4.0
194,1,22,3.0,1,3,3,3.5
195,1,19,3.0,2,0,3,3.75
196,1,22,4.0,1,1,1,3.75
197,0,19,3.0,1,1,1,3.5
198,0,22,4.5,1,2,1,3.75
199,1,22,4.0,1,1,1,3.75
200,0,19,3.0,2,3,3,3.25
201,0,19,4.0,2,3,3,3.5
202,0,19,4.0,0,2,3,3.75
203,0,22,3.5,2,2,2,3.75
204,1,22,4.5,2,3,3,3.0
205,1,22,4.5,0,0,0,3.75
207,1,22,3.0,1,1,1,3.75
208,1,22,3.0,1,2,1,3.75
209,0,19,2.5,3,2,2,3.75
210,1,22,3.0,1,0,2,2.75
211,1,22,3.0,2,1,0,3.25
212,1,22,3.0,2,1,3,3.5
213,1,22,3.0,2,0,1,3.75
214,1,22,4.0,1,0,1,3.75
215,0,19,2.5,2,0,1,3.75
216,1,22,4.0,2,1,2,4.0
217,0,22,3.0,2,2,3,3.75
218,1,22,3.0,2,0,1,3.25
